experiment,window,beta,family_noise,ordered_recall,shuffle_recall,shuffle_delta,content_recall,temporal_recall,temporal_advantage,entropy,top_score,regime
temporal_shuffle,1,1,,0.1,0.1,0.0,,,,0.9997237425172791,0.28221378953032855,blend
temporal_shuffle,1,2,,0.1,0.1,0.0,,,,0.9981730966043765,0.3099770658607723,blend
temporal_shuffle,1,4,,1.0,0.0,1.0,,,,0.45842243461714693,0.9981543118925907,robust_temporal
temporal_shuffle,1,8,,1.0,0.0,1.0,,,,0.0196234491936485,0.9999993743365282,robust_temporal
temporal_shuffle,1,16,,1.0,0.0,1.0,,,,1.3731525992054567e-05,0.9999999999998959,robust_temporal
temporal_shuffle,1,32,,1.0,0.0,1.0,,,,4.401820681557504e-12,1.0,robust_temporal
temporal_shuffle,1,64,,1.0,0.0,1.0,,,,4.797121870615539e-25,1.0,robust_temporal
temporal_shuffle,1,100,,1.0,0.0,1.0,,,,2.125654767182342e-39,1.0,robust_temporal
temporal_shuffle,1,200,,1.0,0.0,1.0,,,,7.949375026517051e-79,1.0,robust_temporal
temporal_shuffle,2,1,,0.2208333333333333,0.2166666666666667,0.004166666666666596,,,,0.9998648673780112,0.24746488761473934,blend
temporal_shuffle,2,2,,0.22916666666666666,0.2041666666666667,0.024999999999999967,,,,0.9991026287950939,0.2619228599817257,blend
temporal_shuffle,2,4,,1.0,0.15833333333333333,0.8416666666666667,,,,0.45810594982427266,0.9981832088006236,robust_temporal
temporal_shuffle,2,8,,1.0,0.15833333333333333,0.8416666666666667,,,,0.019579899003550536,0.9999993895506256,robust_temporal
temporal_shuffle,2,16,,1.0,0.15833333333333333,0.8416666666666667,,,,1.362526559498817e-05,0.9999999999999005,robust_temporal
temporal_shuffle,2,32,,1.0,0.15833333333333333,0.8416666666666667,,,,4.334629112706743e-12,1.0,robust_temporal
temporal_shuffle,2,64,,1.0,0.15833333333333333,0.8416666666666667,,,,5.186676435241227e-25,1.0,robust_temporal
temporal_shuffle,2,100,,1.0,0.15833333333333333,0.8416666666666667,,,,3.021679988662536e-39,1.0,robust_temporal
temporal_shuffle,2,200,,1.0,0.15833333333333333,0.8416666666666667,,,,2.5341732735638857e-78,1.0,robust_temporal
temporal_shuffle,3,1,,0.31999999999999995,0.28583333333333333,0.03416666666666662,,,,0.9996928237251472,0.2832019380730515,blend
temporal_shuffle,3,2,,0.35083333333333333,0.28583333333333333,0.065,,,,0.9980711714543501,0.30867668593371345,blend
temporal_shuffle,3,4,,1.0,0.27999999999999997,0.72,,,,0.4577611094952826,0.9981674636855097,robust_temporal
temporal_shuffle,3,8,,1.0,0.26749999999999996,0.7325,,,,0.019568010969134724,0.9999993751785118,robust_temporal
temporal_shuffle,3,16,,1.0,0.26749999999999996,0.7325,,,,1.373698983009486e-05,0.999999999999891,robust_temporal
temporal_shuffle,3,32,,1.0,0.26749999999999996,0.7325,,,,4.599791418699556e-12,1.0,robust_temporal
temporal_shuffle,3,64,,1.0,0.26749999999999996,0.7325,,,,6.913302012560595e-25,1.0,robust_temporal
temporal_shuffle,3,100,,1.0,0.26749999999999996,0.7325,,,,5.620026696493125e-39,1.0,robust_temporal
temporal_shuffle,3,200,,1.0,0.26749999999999996,0.7325,,,,1.0379252624251275e-77,1.0,robust_temporal
temporal_shuffle,4,1,,0.4331547619047619,0.37202380952380953,0.06113095238095234,,,,0.999759931645588,0.2635339665156655,blend
temporal_shuffle,4,2,,0.4273214285714285,0.37202380952380953,0.055297619047618984,,,,0.9983132691906551,0.29349417836157454,blend
temporal_shuffle,4,4,,1.0,0.4199404761904761,0.5800595238095239,,,,0.46290052157894507,0.9979859692591097,robust_temporal
temporal_shuffle,4,8,,1.0,0.41785714285714287,0.5821428571428571,,,,0.02006848314246957,0.9999993141890341,robust_temporal
temporal_shuffle,4,16,,1.0,0.41785714285714287,0.5821428571428571,,,,1.4306021949355246e-05,0.9999999999998863,robust_temporal
temporal_shuffle,4,32,,1.0,0.41785714285714287,0.5821428571428571,,,,4.6678739240209056e-12,1.0,robust_temporal
temporal_shuffle,4,64,,1.0,0.41785714285714287,0.5821428571428571,,,,5.074539987100725e-25,1.0,robust_temporal
temporal_shuffle,4,100,,1.0,0.41785714285714287,0.5821428571428571,,,,2.1789154863707446e-39,1.0,robust_temporal
temporal_shuffle,4,200,,1.0,0.41785714285714287,0.5821428571428571,,,,5.905470652794017e-79,1.0,robust_temporal
content_distractor,1,1,0.1,,,,0.0,0.0,0.0,0.9669398640549877,0.9707163693742887,interference
content_distractor,1,2,0.1,,,,0.0,0.0,0.0,0.8521018181109539,0.99282256021002,interference
content_distractor,1,4,0.1,,,,0.0,0.0,0.0,0.628768317084811,0.9960062696707128,interference
content_distractor,1,8,0.1,,,,0.0,0.0,0.0,0.5405929990889464,0.9960733463069477,interference
content_distractor,1,16,0.1,,,,0.0,0.0,0.0,0.5372452438355781,0.9960761110188591,interference
content_distractor,1,32,0.1,,,,0.0,0.0,0.0,0.5372401325922527,0.9960815713160679,interference
content_distractor,1,64,0.1,,,,0.0,0.0,0.0,0.5372276027790799,0.9960937308564323,interference
content_distractor,1,100,0.1,,,,0.0,0.0,0.0,0.5371969043637926,0.9961098131862525,interference
content_distractor,1,200,0.1,,,,0.0,0.0,0.0,0.5369101601147042,0.9961749383726034,interference
content_distractor,2,1,0.1,,,,0.0,0.0,0.0,0.966607811381235,0.9713048793615133,interference
content_distractor,2,2,0.1,,,,0.0,0.0,0.0,0.8509026440877412,0.993264615850065,interference
content_distractor,2,4,0.1,,,,0.0,0.0,0.0,0.6275906671311112,0.9962871878132337,interference
content_distractor,2,8,0.1,,,,0.0,0.0,0.0,0.5405061966338682,0.9963265395482142,interference
content_distractor,2,16,0.1,,,,0.0,0.0,0.0,0.5372445367809723,0.9963302604836609,interference
content_distractor,2,32,0.1,,,,0.0,0.0,0.0,0.5372375293076519,0.9963389176874293,interference
content_distractor,2,64,0.1,,,,0.0,0.0,0.0,0.5372157872408317,0.9963579852656778,interference
content_distractor,2,100,0.1,,,,0.0,0.0,0.0,0.5371632522366172,0.9963827900753583,interference
content_distractor,2,200,0.1,,,,0.0,0.0,0.0,0.5366813305482785,0.9964801136773246,interference
content_distractor,3,1,0.1,,,,0.2,0.0,-0.2,0.9653071537956633,0.9735690674189681,interference
content_distractor,3,2,0.1,,,,0.2,0.0,-0.2,0.846619642549733,0.9935556269849594,interference
content_distractor,3,4,0.1,,,,0.2,0.0,-0.2,0.6237687805121401,0.9959448066887181,interference
content_distractor,3,8,0.1,,,,0.2,0.0,-0.2,0.5401977764010689,0.996074768824167,interference
content_distractor,3,16,0.1,,,,0.2,0.0,-0.2,0.5372433100197823,0.9960815346070903,interference
content_distractor,3,32,0.1,,,,0.2,0.0,-0.2,0.5372340681612702,0.996092882140432,interference
content_distractor,3,64,0.1,,,,0.2,0.2,0.0,0.5371994017578346,0.9961181172939559,interference
content_distractor,3,100,0.1,,,,0.2,0.2,0.0,0.5371139336333312,0.9961514647786952,interference
content_distractor,3,200,0.1,,,,0.2,0.2,0.0,0.5362658157175435,0.9962911416837464,interference
content_distractor,4,1,0.1,,,,0.16666666666666666,0.16666666666666666,0.0,0.9666345130509367,0.9722073305220844,interference
content_distractor,4,2,0.1,,,,0.16666666666666666,0.16666666666666666,0.0,0.8518052701039578,0.9928655912084967,interference
content_distractor,4,4,0.1,,,,0.16666666666666666,0.16666666666666666,0.0,0.6284929289399842,0.9959072784840026,interference
content_distractor,4,8,0.1,,,,0.16666666666666666,0.0,-0.16666666666666666,0.5405629498884368,0.9959957295720304,interference
content_distractor,4,16,0.1,,,,0.16666666666666666,0.0,-0.16666666666666666,0.5372433343959484,0.9960005607891438,interference
content_distractor,4,32,0.1,,,,0.16666666666666666,0.0,-0.16666666666666666,0.5372321606727105,0.9960094535670104,interference
content_distractor,4,64,0.1,,,,0.16666666666666666,0.0,-0.16666666666666666,0.5371900409435215,0.9960292086355272,interference
content_distractor,4,100,0.1,,,,0.16666666666666666,0.0,-0.16666666666666666,0.5370850694675552,0.9960552187135762,interference
content_distractor,4,200,0.1,,,,0.16666666666666666,0.0,-0.16666666666666666,0.5360618406797016,0.9961599376076803,interference
