cue_mode,temporal_beta,top_label,recall_at_4,final_top_weight,final_entropy,iterations,converged,regime
exact_pair,0.5,stair,1.0,0.4255358576774597,0.4933941066265106,4,True,ambiguous_correct
exact_pair,1,stair,1.0,0.5583452582359314,0.4333808124065399,5,True,ambiguous_correct
exact_pair,2,stair,1.0,0.7839962244033813,0.2740790843963623,5,True,ambiguous_correct
exact_pair,4,stair,1.0,0.964949369430542,0.0669037476181984,4,True,committed
exact_pair,8,stair,1.0,0.9992868304252625,0.0022921785712242126,3,True,committed
exact_pair,16,stair,1.0,0.9999996423721313,1.7002189451886807e-06,2,True,committed
exact_pair,32,stair,1.0,1.0,1.752457623460657e-10,2,True,committed
exact_pair,64,stair,1.0,1.0,1.752457623460657e-10,2,True,committed
exact_pair,100,stair,1.0,1.0,1.752457623460657e-10,2,True,committed
single_neighbor,0.5,stair,1.0,0.4199094772338867,0.4954090118408203,4,True,ambiguous_correct
single_neighbor,1,stair,1.0,0.5537667274475098,0.43584272265434265,6,True,ambiguous_correct
single_neighbor,2,stair,1.0,0.7809246182441711,0.2768150568008423,5,True,ambiguous_correct
single_neighbor,4,stair,1.0,0.9640979766845703,0.06823737174272537,4,True,committed
single_neighbor,8,stair,1.0,0.99925297498703,0.0023896123748272657,3,True,committed
single_neighbor,16,stair,1.0,0.9999996423721313,1.843315203586826e-06,3,True,committed
single_neighbor,32,stair,1.0,1.0,1.752457623460657e-10,2,True,committed
single_neighbor,64,stair,1.0,1.0,1.752457623460657e-10,2,True,committed
single_neighbor,100,stair,1.0,1.0,1.752457623460657e-10,2,True,committed
neighbor_plus_noise,0.5,stair,1.0,0.4148748219013214,0.4971732497215271,5,True,ambiguous_correct
neighbor_plus_noise,1,stair,1.0,0.54859858751297,0.43858325481414795,7,True,ambiguous_correct
neighbor_plus_noise,2,stair,1.0,0.7789226174354553,0.2785826325416565,6,True,ambiguous_correct
neighbor_plus_noise,4,stair,1.0,0.9636954069137573,0.06886309385299683,4,True,committed
neighbor_plus_noise,8,stair,1.0,0.9992377758026123,0.0024330669548362494,3,True,committed
neighbor_plus_noise,16,stair,1.0,0.9999996423721313,1.9088688532065134e-06,3,True,committed
neighbor_plus_noise,32,stair,1.0,1.0,1.752457623460657e-10,2,True,committed
neighbor_plus_noise,64,stair,1.0,1.0,1.752457623460657e-10,2,True,committed
neighbor_plus_noise,100,stair,1.0,1.0,1.752457623460657e-10,2,True,committed
wrong_pair,0.5,stair,1.0,0.4030061662197113,0.5011743903160095,6,True,ambiguous_correct
wrong_pair,1,stair,1.0,0.5321880578994751,0.44700005650520325,10,True,ambiguous_correct
wrong_pair,2,stair,1.0,0.7702251672744751,0.2860551178455353,8,True,ambiguous_correct
wrong_pair,4,ladder,0.0,0.8821370601654053,0.17275096476078033,7,True,flipped
wrong_pair,8,ladder,0.0,0.9967324733734131,0.008686368353664875,4,True,flipped
wrong_pair,16,ladder,0.0,0.9999970197677612,1.4930678844393697e-05,3,True,flipped
wrong_pair,32,ladder,0.0,1.0,2.1547116868525507e-10,2,True,flipped
wrong_pair,64,ladder,0.0,1.0,1.752457623460657e-10,2,True,flipped
wrong_pair,100,ladder,0.0,1.0,1.752457623460657e-10,2,True,flipped
noise_only,0.5,stair,1.0,0.4065195322036743,0.5000219941139221,6,True,ambiguous_correct
noise_only,1,stair,1.0,0.5396179556846619,0.4432573616504669,9,True,ambiguous_correct
noise_only,2,stair,1.0,0.7760905027389526,0.2810719311237335,7,True,ambiguous_correct
noise_only,4,stair,1.0,0.9633379578590393,0.06941700726747513,5,True,committed
noise_only,8,stair,1.0,0.9992259740829468,0.002466547302901745,4,True,committed
noise_only,16,stair,1.0,0.9999996423721313,1.9615263227024116e-06,4,True,committed
noise_only,32,stair,1.0,1.0,1.752457623460657e-10,3,True,committed
noise_only,64,stair,1.0,1.0,1.752457623460657e-10,3,True,committed
noise_only,100,stair,1.0,1.0,1.752457623460657e-10,3,True,committed
