content_mode,temporal_mode,temporal_beta,top_label,recall_at_4,final_top_weight,final_entropy,iterations,converged,regime
exact_stair,exact_pair,0.5,stair,1.0,0.41322636831079096,0.49742913633081065,5,True,ambiguous_correct
exact_stair,exact_pair,1,stair,1.0,0.549813752210784,0.4377485078242194,6,True,ambiguous_correct
exact_stair,exact_pair,2,stair,1.0,0.7830528754755496,0.2749005891289667,5,True,ambiguous_correct
exact_stair,exact_pair,4,stair,1.0,0.9655583501050031,0.06595828984787623,4,True,committed
exact_stair,exact_pair,8,stair,1.0,0.9993270247315891,0.002176729597104387,3,True,committed
exact_stair,exact_pair,16,stair,1.0,0.9999997488330812,1.474067967400346e-06,2,True,committed
exact_stair,exact_pair,32,stair,1.0,0.9999999999999649,3.92233783755525e-13,2,True,committed
exact_stair,exact_pair,64,stair,1.0,1.0,1.5291478423951992e-26,2,True,committed
exact_stair,exact_pair,100,stair,1.0,1.0,9.909706427300868e-42,2,True,committed
exact_stair,single_neighbor,0.5,stair,1.0,0.4101444229506425,0.4984759485030513,3,True,ambiguous_correct
exact_stair,single_neighbor,1,stair,1.0,0.5488997277349765,0.43823189648903704,7,True,ambiguous_correct
exact_stair,single_neighbor,2,stair,1.0,0.7824248443796901,0.2754657134222657,5,True,ambiguous_correct
exact_stair,single_neighbor,4,stair,1.0,0.9654414961163764,0.06614326545095674,4,True,committed
exact_stair,single_neighbor,8,stair,1.0,0.99932260977525,0.002189515467037166,3,True,committed
exact_stair,single_neighbor,16,stair,1.0,0.9999997454808559,1.492545180468148e-06,3,True,committed
exact_stair,single_neighbor,32,stair,1.0,0.9999999999999636,4.0382677825788847e-13,2,True,committed
exact_stair,single_neighbor,64,stair,1.0,1.0,1.6308862964796984e-26,2,True,committed
exact_stair,single_neighbor,100,stair,1.0,1.0,1.0980297734261609e-41,2,True,committed
exact_stair,neighbor_plus_noise,0.5,stair,1.0,0.4054346483502218,0.5000650622616092,4,True,ambiguous_correct
exact_stair,neighbor_plus_noise,1,stair,1.0,0.543497132277973,0.4410590916668821,7,True,ambiguous_correct
exact_stair,neighbor_plus_noise,2,stair,1.0,0.7797866858562925,0.27779942036012284,6,True,ambiguous_correct
exact_stair,neighbor_plus_noise,4,stair,1.0,0.9647137436790146,0.06727948191634309,4,True,committed
exact_stair,neighbor_plus_noise,8,stair,1.0,0.9992938970073212,0.002271939549160618,3,True,committed
exact_stair,neighbor_plus_noise,16,stair,1.0,0.9999997221166843,1.620474188301298e-06,3,True,committed
exact_stair,neighbor_plus_noise,32,stair,1.0,0.9999999999999558,4.875140443622333e-13,2,True,committed
exact_stair,neighbor_plus_noise,64,stair,1.0,1.0,2.545711878811828e-26,2,True,committed
exact_stair,neighbor_plus_noise,100,stair,1.0,1.0,2.388157576605552e-41,2,True,committed
exact_stair,wrong_pair,0.5,stair,0.75,0.3928134749451353,0.5042316849089079,6,True,ambiguous_correct
exact_stair,wrong_pair,1,stair,1.0,0.5246519055130766,0.4507178011348636,11,True,ambiguous_correct
exact_stair,wrong_pair,2,stair,1.0,0.7723563015609981,0.2843559450633861,8,True,ambiguous_correct
exact_stair,wrong_pair,4,stair,1.0,0.9631384340422416,0.0696910823554414,7,True,committed
exact_stair,wrong_pair,8,ladder,0.0,0.9967181797404284,0.00872544167873951,4,True,flipped
exact_stair,wrong_pair,16,ladder,0.0,0.9999972935968209,1.3269023138766828e-05,3,True,flipped
exact_stair,wrong_pair,32,ladder,0.0,0.9999999999962572,3.4360243084157966e-11,2,True,flipped
exact_stair,wrong_pair,64,ladder,0.0,1.0,2.1938368946739693e-22,2,True,flipped
exact_stair,wrong_pair,100,ladder,0.0,1.0,4.3780988138791933e-35,2,True,flipped
exact_stair,noise_only,0.5,stair,0.75,0.39381447757751076,0.5038139255957623,6,True,ambiguous_correct
exact_stair,noise_only,1,stair,1.0,0.5275962460564816,0.4491058167630975,11,True,ambiguous_correct
exact_stair,noise_only,2,stair,1.0,0.774577417216648,0.2823684164358959,7,True,ambiguous_correct
exact_stair,noise_only,4,stair,1.0,0.9638495959808245,0.06862902790448261,5,True,committed
exact_stair,noise_only,8,stair,1.0,0.9992638534921208,0.0023583372562592433,4,True,committed
exact_stair,noise_only,16,stair,1.0,0.9999996980807785,1.7522428965074126e-06,4,True,committed
exact_stair,noise_only,32,escalator,0.0,0.9999999905221112,6.161336391832135e-08,4,True,flipped
