label,codebook_path,seed,n_eval,n_correct,accuracy,lower_ci,upper_ci
random_baseline_matrix,/Users/dypatterson/Desktop/Neuro-AI/reports/phase2_full_matrix/phase2_codebook.pt,17,44,9,0.204545,0.111531,0.345009
random_baseline_matrix,/Users/dypatterson/Desktop/Neuro-AI/reports/phase2_full_matrix/phase2_codebook.pt,1,53,3,0.056604,0.019436,0.153704
random_baseline_matrix,/Users/dypatterson/Desktop/Neuro-AI/reports/phase2_full_matrix/phase2_codebook.pt,2,48,6,0.125000,0.058570,0.247007
random_baseline_matrix,/Users/dypatterson/Desktop/Neuro-AI/reports/phase2_full_matrix/phase2_codebook.pt,3,46,1,0.021739,0.003848,0.113356
random_baseline_matrix,/Users/dypatterson/Desktop/Neuro-AI/reports/phase2_full_matrix/phase2_codebook.pt,4,48,3,0.062500,0.021483,0.168357
random_baseline_matrix,/Users/dypatterson/Desktop/Neuro-AI/reports/phase2_full_matrix/phase2_codebook.pt,5,48,3,0.062500,0.021483,0.168357
random_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_random.pt,17,44,9,0.204545,0.111531,0.345009
random_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_random.pt,1,53,3,0.056604,0.019436,0.153704
random_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_random.pt,2,48,6,0.125000,0.058570,0.247007
random_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_random.pt,3,46,1,0.021739,0.003848,0.113356
random_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_random.pt,4,48,3,0.062500,0.021483,0.168357
random_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_random.pt,5,48,3,0.062500,0.021483,0.168357
hebbian_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_hebbian.pt,17,44,9,0.204545,0.111531,0.345009
hebbian_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_hebbian.pt,1,53,1,0.018868,0.003338,0.099431
hebbian_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_hebbian.pt,2,48,6,0.125000,0.058570,0.247007
hebbian_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_hebbian.pt,3,46,7,0.152174,0.075722,0.282244
hebbian_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_hebbian.pt,4,48,3,0.062500,0.021483,0.168357
hebbian_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_hebbian.pt,5,48,3,0.062500,0.021483,0.168357
reconstruction,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_reconstruction.pt,17,44,9,0.204545,0.111531,0.345009
reconstruction,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_reconstruction.pt,1,53,3,0.056604,0.019436,0.153704
reconstruction,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_reconstruction.pt,2,48,0,0.000000,0.000000,0.074103
reconstruction,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_reconstruction.pt,3,46,2,0.043478,0.012005,0.145325
reconstruction,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_reconstruction.pt,4,48,1,0.020833,0.003687,0.108995
reconstruction,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_reconstruction.pt,5,48,0,0.000000,0.000000,0.074103
hebbian_phase3b,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3b_error_driven/phase3b_codebook_hebbian.pt,17,44,9,0.204545,0.111531,0.345009
hebbian_phase3b,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3b_error_driven/phase3b_codebook_hebbian.pt,1,53,1,0.018868,0.003338,0.099431
hebbian_phase3b,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3b_error_driven/phase3b_codebook_hebbian.pt,2,48,6,0.125000,0.058570,0.247007
hebbian_phase3b,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3b_error_driven/phase3b_codebook_hebbian.pt,3,46,7,0.152174,0.075722,0.282244
hebbian_phase3b,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3b_error_driven/phase3b_codebook_hebbian.pt,4,48,3,0.062500,0.021483,0.168357
hebbian_phase3b,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3b_error_driven/phase3b_codebook_hebbian.pt,5,48,3,0.062500,0.021483,0.168357
error_driven,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3b_error_driven/phase3b_codebook_error_driven.pt,17,44,9,0.204545,0.111531,0.345009
error_driven,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3b_error_driven/phase3b_codebook_error_driven.pt,1,53,1,0.018868,0.003338,0.099431
error_driven,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3b_error_driven/phase3b_codebook_error_driven.pt,2,48,0,0.000000,0.000000,0.074103
error_driven,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3b_error_driven/phase3b_codebook_error_driven.pt,3,46,4,0.086957,0.034335,0.203249
error_driven,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3b_error_driven/phase3b_codebook_error_driven.pt,4,48,0,0.000000,0.000000,0.074103
error_driven,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3b_error_driven/phase3b_codebook_error_driven.pt,5,48,1,0.020833,0.003687,0.108995

AGGREGATE label,n_seeds,total_correct,total_eval,pooled_acc,pooled_lower,pooled_upper
random_baseline_matrix,6,25,287,0.087108,0.059697,0.125426
random_phase3c,6,25,287,0.087108,0.059697,0.125426
hebbian_phase3c,6,29,287,0.101045,0.071278,0.141352
