label,codebook_path,seed,n_eval,n_correct,accuracy,lower_ci,upper_ci
random_baseline_matrix,/Users/dypatterson/Desktop/Neuro-AI/reports/phase2_full_matrix/phase2_codebook.pt,17,48,5,0.104167,0.045321,0.221677
random_baseline_matrix,/Users/dypatterson/Desktop/Neuro-AI/reports/phase2_full_matrix/phase2_codebook.pt,1,47,0,0.000000,0.000000,0.075560
random_baseline_matrix,/Users/dypatterson/Desktop/Neuro-AI/reports/phase2_full_matrix/phase2_codebook.pt,2,49,9,0.183673,0.099762,0.313579
random_baseline_matrix,/Users/dypatterson/Desktop/Neuro-AI/reports/phase2_full_matrix/phase2_codebook.pt,3,44,2,0.045455,0.012555,0.151353
random_baseline_matrix,/Users/dypatterson/Desktop/Neuro-AI/reports/phase2_full_matrix/phase2_codebook.pt,4,51,5,0.098039,0.042607,0.209785
random_baseline_matrix,/Users/dypatterson/Desktop/Neuro-AI/reports/phase2_full_matrix/phase2_codebook.pt,5,51,3,0.058824,0.020206,0.159249
random_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_random.pt,17,48,5,0.104167,0.045321,0.221677
random_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_random.pt,1,47,0,0.000000,0.000000,0.075560
random_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_random.pt,2,49,9,0.183673,0.099762,0.313579
random_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_random.pt,3,44,2,0.045455,0.012555,0.151353
random_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_random.pt,4,51,5,0.098039,0.042607,0.209785
random_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_random.pt,5,51,3,0.058824,0.020206,0.159249
hebbian_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_hebbian.pt,17,48,5,0.104167,0.045321,0.221677
hebbian_phase3c,/Users/dypatterson/Desktop/Neuro-AI/reports/phase3c_reconstruction/phase3c_codebook_hebbian.pt,1,47,6,0.127660,0.059845,0.251742
