label,seed,recall_correct,raw_synergy,settled_synergy_at_mask
random,17,0,0.316028,-0.013967
random,17,0,0.312464,-0.029688
random,17,0,0.315147,-0.021520
random,17,0,0.309396,-0.021197
random,17,0,0.317667,0.003121
random,17,0,0.306117,0.026145
random,17,0,0.311249,-0.025501
random,17,0,0.316234,0.003242
random,17,0,0.311661,0.016716
random,17,0,0.313840,0.003286
random,17,1,0.345178,0.047122
random,17,0,0.310879,-0.017636
random,17,0,0.312714,0.002136
random,17,0,0.307945,-0.015176
random,17,0,0.298123,-0.008397
random,17,0,0.314991,-0.001290
random,17,0,0.309412,-0.007372
random,17,0,0.305132,0.014872
random,17,0,0.304733,-0.014845
random,17,0,0.312503,-0.031757
random,17,0,0.315927,-0.008437
random,17,0,0.305270,0.008037
random,17,0,0.315530,-0.025453
random,17,0,0.307911,0.003250
random,17,0,0.306771,-0.005415
random,17,0,0.313265,-0.005316
random,17,0,0.313432,0.014166
random,17,0,0.317100,-0.012445
random,17,0,0.306822,0.016678
random,17,0,0.320641,-0.001092
random,17,0,0.313689,0.030619
random,17,0,0.313604,0.026137
random,17,0,0.309158,-0.039514
random,17,0,0.312347,-0.011343
random,17,1,0.311806,0.046778
random,17,0,0.312696,-0.006854
random,17,0,0.311065,0.003327
random,17,0,0.305090,0.019924
random,17,0,0.315334,0.003037
random,17,0,0.309527,-0.019873
random,17,0,0.307568,-0.036021
random,17,0,0.309622,-0.000962
random,17,0,0.315447,-0.010683
random,17,0,0.309161,-0.019853
random,17,0,0.316234,0.005394
random,17,0,0.304798,-0.028190
random,17,0,0.308682,-0.032674
random,17,0,0.310688,0.029320
random,17,0,0.330211,-0.017433
random,17,0,0.312539,-0.016824
random,17,0,0.304836,-0.056437
random,17,0,0.322730,-0.001332
random,17,0,0.300099,-0.008217
random,17,0,0.316885,-0.036461
random,17,0,0.304666,-0.001424
random,17,1,0.311196,0.046743
random,17,0,0.309842,-0.017855
random,17,0,0.323969,0.000345
random,17,1,0.309904,0.047137
random,17,1,0.308651,0.046787
random,17,0,0.313034,0.006114
random,17,0,0.310101,-0.004919
random,17,0,0.313895,-0.009497
random,17,0,0.304906,-0.029213
random,17,0,0.313264,-0.015519
random,17,0,0.314699,-0.028792
random,17,0,0.318323,-0.006009
random,17,0,0.255498,-0.012916
random,17,0,0.313716,-0.023968
random,17,0,0.312292,-0.012501
random,17,0,0.311541,0.018588
random,17,0,0.314347,0.012213
random,17,0,0.313904,-0.014842
random,17,0,0.304376,0.016568
random,17,0,0.303465,-0.023698
random,17,0,0.315112,-0.001152
random,17,0,0.309936,-0.005546
random,17,0,0.308551,-0.001142
random,17,0,0.312203,-0.005278
random,17,1,0.341343,0.046992
random,17,0,0.308149,-0.017511
random,17,0,0.309628,-0.009739
random,17,0,0.309093,-0.001531
random,17,0,0.306457,-0.001176
random,17,0,0.303140,0.007636
random,17,0,0.313283,0.051759
random,17,0,0.306318,-0.025393
random,17,0,0.306967,-0.014561
random,17,0,0.306907,-0.030948
random,17,0,0.315985,0.016597
random,17,0,0.308687,0.016732
random,17,0,0.312733,0.013570
random,17,0,0.318502,-0.001312
random,17,0,0.316437,-0.001311
random,17,0,0.319914,0.003408
random,17,0,0.315428,-0.001197
random,17,0,0.314061,0.005299
random,17,0,0.306554,0.029398
random,17,0,0.304071,-0.013262
random,17,0,0.308149,-0.011097
random,17,0,0.318011,-0.023955
random,17,0,0.314534,0.001456
random,17,0,0.311396,0.016723
random,17,1,0.311307,0.047113
random,17,0,0.301248,0.004282
random,17,0,0.317781,-0.006000
random,17,0,0.312557,0.002255
random,17,0,0.311869,-0.001573
random,17,0,0.301209,-0.038519
random,17,0,0.313066,0.009680
random,17,0,0.305989,-0.002030
random,17,0,0.314672,-0.004814
random,17,0,0.305185,0.002227
random,17,0,0.308086,-0.001503
random,17,0,0.315859,-0.020713
random,17,0,0.316505,-0.018433
random,17,0,0.310622,0.004250
random,17,0,0.331853,0.001115
random,17,0,0.313972,-0.038162
random,17,1,0.306904,0.046802
random,17,1,0.311932,0.046720
random,17,0,0.320289,-0.005404
random,17,0,0.316911,0.019194
random,17,0,0.312902,-0.016284
random,17,0,0.315989,0.029370
random,17,0,0.312052,-0.008494
random,17,0,0.319761,0.016670
random,17,0,0.307089,0.011393
random,17,0,0.316000,-0.030445
random,17,1,0.323850,0.047037
random,17,0,0.303995,-0.015857
random,17,0,0.306157,-0.002360
random,17,0,0.315436,0.029746
random,17,0,0.311150,-0.027837
random,17,1,0.313670,0.046531
random,17,0,0.312728,0.031137
random,17,0,0.309621,-0.038229
random,17,0,0.323274,0.002028
random,17,0,0.319611,-0.019510
random,17,0,0.307125,-0.004431
random,17,0,0.307055,-0.019575
random,17,1,0.308114,0.047175
random,17,0,0.314275,-0.040017
random,17,0,0.305013,0.001682
random,17,0,0.318251,0.016722
random,17,0,0.312565,0.006109
random,17,0,0.304294,0.008512
random,17,0,0.314358,-0.015518
random,17,0,0.310362,-0.003908
random,17,0,0.308779,-0.000599
random,17,0,0.310736,-0.009183
random,17,0,0.314577,-0.021020
random,17,0,0.309101,-0.009276
random,17,0,0.317008,0.012917
random,17,0,0.316367,-0.011225
random,17,0,0.309951,0.029386
random,17,0,0.311883,-0.005397
random,17,0,0.310010,-0.032510
random,17,0,0.299291,0.006880
random,17,0,0.314208,-0.032709
random,17,0,0.305171,-0.017422
random,17,0,0.312094,-0.011642
random,17,1,0.306988,0.046851
random,17,0,0.321286,-0.024228
random,17,0,0.319183,-0.009175
random,17,0,0.306869,0.016575
random,17,0,0.311360,-0.033681
random,17,0,0.308519,-0.009339
random,17,0,0.311975,-0.007166
random,17,0,0.315219,-0.030087
random,17,0,0.316869,0.016446
random,17,1,0.303795,0.046806
random,17,0,0.318396,-0.018560
random,17,0,0.305953,-0.006986
random,17,0,0.310774,-0.016494
random,17,1,0.305730,0.046915
random,17,0,0.316266,0.016719
random,17,0,0.322163,-0.015312
random,17,0,0.310565,0.004640
random,17,0,0.310861,-0.001763
random,17,0,0.299005,-0.002197
random,17,0,0.313901,-0.007548
random,17,0,0.313431,-0.005409
random,17,1,0.307840,0.047094
random,17,0,0.314815,-0.020656
random,17,0,0.310505,-0.017089
random,17,0,0.314463,0.025534
random,17,0,0.308452,-0.012940
random,17,0,0.338617,-0.012133
random,17,0,0.353058,-0.012124
random,17,0,0.309559,-0.001180
random,17,0,0.309352,0.000906
