codebook,objective,retrieval_condition,window_size,mask_count,mask_position,landscape_size,beta,accuracy,lower_ci,upper_ci,bigram_accuracy,mean_gap,mean_entropy,mean_energy,metastable_rate
learned,masked_token,generalization,4,1,center,64,10.0,0.044444444444444446,0.01227386904044434,0.14827779183880616,0.15555555555555556,0.16851373670829667,0.21913309080733193,-1.0171108457777236,0.0
learned,masked_token,generalization,4,1,center,64,30.0,0.044444444444444446,0.01227386904044434,0.14827779183880616,0.15555555555555556,0.1440804306935105,0.00013192676185332807,-1.0000018676122029,0.0
learned,masked_token,generalization,4,1,center,256,10.0,0.06666666666666667,0.022931616462147076,0.17856874388640825,0.15555555555555556,0.034834484838777116,0.6737428751256731,-1.0711951865090263,0.9555555555555556
learned,masked_token,generalization,4,1,center,256,30.0,0.0,0.0,0.07865426194064076,0.15555555555555556,0.07871196133395036,0.00472983061562344,-1.0001419544219972,0.0
learned,masked_token,generalization,4,1,end,64,10.0,0.08,0.031549003255790686,0.18838502545063707,0.14,0.14794364601373672,0.20849404379725456,-1.0161476278305053,0.0
learned,masked_token,generalization,4,1,end,64,30.0,0.04,0.011038652660826579,0.13460337877954667,0.14,0.1484042866807431,0.00011681330338007002,-1.0000016498565674,0.0
learned,masked_token,generalization,4,1,end,256,10.0,0.04,0.011038652660826579,0.13460337877954667,0.14,0.014953220896422863,0.6717277431488037,-1.0807991433143616,0.92
learned,masked_token,generalization,4,1,end,256,30.0,0.1,0.0434751239915711,0.21360490334788393,0.14,0.1204743583407253,0.013372152228018876,-1.0021946477890014,0.0
learned,masked_token,generalization,8,1,center,64,10.0,0.018867924528301886,0.0033383673867494,0.09943143501149411,0.22641509433962265,0.09170003781393873,0.061570175905834953,-1.003336730993019,0.0
learned,masked_token,generalization,8,1,center,64,30.0,0.0,0.0,0.0675843044530766,0.22641509433962265,0.08993969196102249,9.963029450835525e-07,-1.0000000112461593,0.0
learned,masked_token,generalization,8,1,center,256,10.0,0.05660377358490566,0.01943630892731418,0.15370448936126319,0.22641509433962265,0.05789710713972179,0.35624427952856386,-0.9913009472613065,0.2830188679245283
learned,masked_token,generalization,8,1,center,256,30.0,0.018867924528301886,0.0033383673867494,0.09943143501149411,0.22641509433962265,0.08198296359546904,4.324312038949181e-06,-1.0000000629784926,0.0
learned,masked_token,generalization,8,1,end,64,10.0,0.0,6.381712396155606e-18,0.08029831778201396,0.2727272727272727,0.0719458862863989,0.06841917183588851,-1.0037667155265808,0.0
learned,masked_token,generalization,8,1,end,64,30.0,0.0,6.381712396155606e-18,0.08029831778201396,0.2727272727272727,0.07724151430672711,9.970283121935546e-07,-1.000000005418604,0.0
learned,masked_token,generalization,8,1,end,256,10.0,0.1590909090909091,0.07926576557718398,0.2936649056378255,0.2727272727272727,0.0615463144548068,0.448970400812951,-0.9797127030112527,0.4772727272727273
learned,masked_token,generalization,8,1,end,256,30.0,0.0,6.381712396155606e-18,0.08029831778201396,0.2727272727272727,0.09525566691246984,3.1461581835918135e-06,-1.0000000568953427,0.0
learned,masked_token,memorization,4,1,center,64,10.0,1.0,0.9324156955469233,1.0,0.05660377358490566,0.1971243662091921,0.121718251269381,-1.007624608165813,0.0
learned,masked_token,memorization,4,1,center,64,30.0,1.0,0.9324156955469233,1.0,0.05660377358490566,0.20279220083974442,3.096528596289717e-05,-1.0000003531294048,0.0
learned,masked_token,memorization,4,1,center,256,10.0,0.2127659574468085,0.11989580124247318,0.3490430205097927,0.23404255319148937,0.062447504754713244,0.652026594953334,-1.0722699292162632,0.8723404255319149
learned,masked_token,memorization,4,1,center,256,30.0,1.0,0.9244398288016114,1.0,0.23404255319148937,0.19533403693361484,0.0005317577935682764,-1.0000127401757748,0.0
learned,masked_token,memorization,4,1,end,64,10.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,0.19230769230769232,0.19146941258357122,0.12176386832904357,-1.0077159748627589,0.0
learned,masked_token,memorization,4,1,end,64,30.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,0.19230769230769232,0.19669216613356882,7.368895080794857e-05,-1.0000010889310103,0.0
learned,masked_token,memorization,4,1,end,256,10.0,0.11904761904761904,0.05193726765019085,0.2500068180710754,0.16666666666666666,0.034767405928245614,0.6012492289855367,-1.0777107988085066,0.8571428571428571
learned,masked_token,memorization,4,1,end,256,30.0,0.9523809523809523,0.8420986468452026,0.9868427513607937,0.16666666666666666,0.19420722322095008,0.0004957525373199479,-1.0000114327385312,0.0
learned,masked_token,memorization,8,1,center,64,10.0,1.0,0.9244398288016114,1.0,0.3404255319148936,0.13426994706722015,0.05941553366311053,-1.0031538897372307,0.0
learned,masked_token,memorization,8,1,center,64,30.0,1.0,0.9244398288016114,1.0,0.3404255319148936,0.13506591859016012,8.959807764844247e-07,-1.0000000050727358,0.0
learned,masked_token,memorization,8,1,center,256,10.0,1.0,0.9272997032640948,0.9999999999999998,0.32653061224489793,0.13459492003431126,0.14947730059526404,-1.0103874717439925,0.0
learned,masked_token,memorization,8,1,center,256,30.0,1.0,0.9272997032640948,0.9999999999999998,0.32653061224489793,0.1373153970557816,1.9140527172112343e-06,-1.0000000194627412,0.0
