codebook,objective,retrieval_condition,window_size,mask_count,mask_position,landscape_size,beta,accuracy,lower_ci,upper_ci,bigram_accuracy,mean_gap,mean_entropy,mean_energy,metastable_rate
hebbian,masked_token,generalization,4,1,center,16,10.0,0.0,0.0,0.48990002040399916,0.0,0.032801903784275055,0.5986716151237488,-1.1618105173110962,0.0
hebbian,masked_token,memorization,4,1,center,16,10.0,0.8,0.37552826411853885,0.9637768390302125,0.2,0.23692683577537538,0.14523010998964309,-1.0332740545272827,0.0
hebbian,next_token,generalization,4,,,16,10.0,0.0,0.0,0.5615060804490177,0.0,0.01593320071697235,0.5986716151237488,-1.1618105173110962,0.0
hebbian,next_token,memorization,4,,,16,10.0,0.5,0.09452865480086611,0.905471345199134,0.5,0.15062067657709122,0.3100311979651451,-1.0812627673149109,0.0
random,masked_token,generalization,4,1,center,16,10.0,0.0,0.0,0.48990002040399916,0.0,0.011179421097040176,0.6134252399206161,-1.16277876496315,0.0
random,masked_token,memorization,4,1,center,16,10.0,0.8,0.37552826411853885,0.9637768390302125,0.2,0.23190508782863617,0.1827046535909176,-1.035038995742798,0.0
random,next_token,generalization,4,,,16,10.0,0.0,0.0,0.5615060804490177,0.0,0.004169449210166931,0.6134252349535624,-1.1627787748972576,0.0
random,next_token,memorization,4,,,16,10.0,0.5,0.09452865480086611,0.905471345199134,0.5,0.17388173192739487,0.32899327762424946,-1.0822154879570007,0.0
reconstruction,masked_token,generalization,4,1,center,16,10.0,0.0,0.0,0.48990002040399916,0.0,0.03323383256793022,0.6067436337471008,-1.1622693538665771,0.0
reconstruction,masked_token,memorization,4,1,center,16,10.0,0.8,0.37552826411853885,0.9637768390302125,0.2,0.22249487340450286,0.17094700299203397,-1.0345130205154418,0.0
reconstruction,next_token,generalization,4,,,16,10.0,0.0,0.0,0.5615060804490177,0.0,0.16014662384986877,0.2545382007956505,-1.0562753280003865,0.0
reconstruction,next_token,memorization,4,,,16,10.0,1.0,0.3423719528896193,1.0,0.5,0.3523610085248947,0.04734171740710735,-1.001786708831787,0.0
