label,seed,target_token,target_bucket,target_rank,settled_synergy_at_mask
random,17,1308,q1_most_frequent,1521,-0.013967
random,17,846,q1_most_frequent,1127,-0.029688
random,17,1096,q1_most_frequent,2028,-0.021520
random,17,349,q1_most_frequent,1960,-0.021197
random,17,22,q1_most_frequent,431,0.003121
random,17,9,q1_most_frequent,34,0.026145
random,17,232,q1_most_frequent,1898,-0.025501
random,17,22,q1_most_frequent,421,0.003242
random,17,3,q1_most_frequent,75,0.016716
random,17,21,q1_most_frequent,837,0.003286
random,17,2,q1_most_frequent,0,0.047122
random,17,581,q1_most_frequent,797,-0.017636
random,17,40,q1_most_frequent,487,0.002136
random,17,1982,q1_most_frequent,1148,-0.015176
random,17,1135,q1_most_frequent,1539,-0.008397
random,17,158,q1_most_frequent,1734,-0.001290
random,17,16,q1_most_frequent,1015,-0.007372
random,17,453,q1_most_frequent,193,0.014872
random,17,315,q1_most_frequent,1547,-0.014845
random,17,105,q1_most_frequent,1873,-0.031757
random,17,110,q1_most_frequent,1420,-0.008437
random,17,1393,q1_most_frequent,1724,0.008037
random,17,101,q1_most_frequent,1099,-0.025453
random,17,82,q1_most_frequent,254,0.003250
random,17,7,q1_most_frequent,462,-0.005415
random,17,7,q1_most_frequent,456,-0.005316
random,17,1634,q1_most_frequent,672,0.014166
random,17,33,q1_most_frequent,1377,-0.012445
random,17,3,q1_most_frequent,75,0.016678
random,17,5,q1_most_frequent,961,-0.001092
random,17,55,q1_most_frequent,53,0.030619
random,17,9,q1_most_frequent,34,0.026137
random,17,566,q1_most_frequent,1917,-0.039514
random,17,1145,q1_most_frequent,977,-0.011343
random,17,2,q1_most_frequent,0,0.046778
random,17,17,q1_most_frequent,653,-0.006854
random,17,21,q1_most_frequent,833,0.003327
random,17,977,q1_most_frequent,286,0.019924
random,17,1703,q1_most_frequent,234,0.003037
random,17,27,q1_most_frequent,1688,-0.019873
random,17,676,q1_most_frequent,1785,-0.036021
random,17,8,q1_most_frequent,1245,-0.000962
random,17,518,q1_most_frequent,824,-0.010683
random,17,570,q1_most_frequent,1717,-0.019853
random,17,1433,q1_most_frequent,705,0.005394
random,17,1147,q1_most_frequent,1969,-0.028190
random,17,11,q1_most_frequent,1806,-0.032674
random,17,4,q1_most_frequent,15,0.029320
random,17,12,q1_most_frequent,1714,-0.017433
random,17,13,q1_most_frequent,1982,-0.016824
random,17,280,q1_most_frequent,2021,-0.056437
random,17,8,q1_most_frequent,1253,-0.001332
random,17,43,q1_most_frequent,1256,-0.008217
random,17,394,q1_most_frequent,1541,-0.036461
random,17,5,q1_most_frequent,1001,-0.001424
random,17,2,q1_most_frequent,0,0.046743
random,17,19,q1_most_frequent,903,-0.017855
random,17,991,q1_most_frequent,177,0.000345
random,17,2,q1_most_frequent,0,0.047137
random,17,2,q1_most_frequent,0,0.046787
random,17,353,q1_most_frequent,848,0.006114
random,17,430,q1_most_frequent,920,-0.004919
random,17,442,q1_most_frequent,1377,-0.009497
random,17,1920,q1_most_frequent,1799,-0.029213
random,17,60,q1_most_frequent,1831,-0.015519
random,17,144,q1_most_frequent,1183,-0.028792
random,17,37,q1_most_frequent,367,-0.006009
random,17,331,q1_most_frequent,1320,-0.012916
random,17,217,q1_most_frequent,1863,-0.023968
random,17,1711,q1_most_frequent,1234,-0.012501
random,17,1104,q1_most_frequent,87,0.018588
random,17,1369,q1_most_frequent,329,0.012213
random,17,245,q1_most_frequent,1424,-0.014842
random,17,3,q1_most_frequent,76,0.016568
random,17,147,q1_most_frequent,1874,-0.023698
random,17,5,q1_most_frequent,971,-0.001152
random,17,171,q1_most_frequent,1740,-0.005546
random,17,5,q1_most_frequent,967,-0.001142
random,17,7,q1_most_frequent,454,-0.005278
random,17,2,q1_most_frequent,0,0.046992
random,17,12,q1_most_frequent,1721,-0.017511
random,17,613,q1_most_frequent,1101,-0.009739
random,17,837,q1_most_frequent,1258,-0.001531
random,17,5,q1_most_frequent,973,-0.001176
random,17,1716,q1_most_frequent,100,0.007636
random,17,239,q1_most_frequent,1,0.051759
random,17,84,q1_most_frequent,1013,-0.025393
random,17,71,q1_most_frequent,2007,-0.014561
random,17,661,q1_most_frequent,1988,-0.030948
random,17,3,q1_most_frequent,76,0.016597
random,17,3,q1_most_frequent,77,0.016732
random,17,14,q1_most_frequent,163,0.013570
random,17,6,q1_most_frequent,437,-0.001312
random,17,6,q1_most_frequent,437,-0.001311
random,17,21,q1_most_frequent,827,0.003408
random,17,5,q1_most_frequent,975,-0.001197
random,17,115,q1_most_frequent,550,0.005299
random,17,4,q1_most_frequent,15,0.029398
random,17,1130,q1_most_frequent,1728,-0.013262
random,17,955,q1_most_frequent,1219,-0.011097
random,17,172,q1_most_frequent,1826,-0.023955
random,17,129,q1_most_frequent,653,0.001456
random,17,3,q1_most_frequent,77,0.016723
random,17,2,q1_most_frequent,0,0.047113
random,17,28,q1_most_frequent,333,0.004282
random,17,1099,q1_most_frequent,1263,-0.006000
random,17,40,q1_most_frequent,482,0.002255
random,17,6,q1_most_frequent,439,-0.001573
random,17,1297,q1_most_frequent,2027,-0.038519
random,17,152,q1_most_frequent,610,0.009680
random,17,23,q1_most_frequent,1212,-0.002030
random,17,15,q1_most_frequent,662,-0.004814
random,17,127,q1_most_frequent,1034,0.002227
random,17,5,q1_most_frequent,1006,-0.001503
random,17,253,q1_most_frequent,1737,-0.020713
random,17,49,q1_most_frequent,1203,-0.018433
random,17,28,q1_most_frequent,333,0.004250
random,17,1097,q1_most_frequent,627,0.001115
random,17,165,q1_most_frequent,1837,-0.038162
random,17,2,q1_most_frequent,0,0.046802
random,17,2,q1_most_frequent,0,0.046720
random,17,7,q1_most_frequent,461,-0.005404
random,17,1567,q1_most_frequent,469,0.019194
random,17,1778,q1_most_frequent,1686,-0.016284
random,17,4,q1_most_frequent,15,0.029370
random,17,528,q1_most_frequent,742,-0.008494
random,17,3,q1_most_frequent,75,0.016670
random,17,1869,q1_most_frequent,132,0.011393
random,17,73,q1_most_frequent,1635,-0.030445
random,17,2,q1_most_frequent,0,0.047037
random,17,297,q1_most_frequent,1933,-0.015857
random,17,75,q1_most_frequent,640,-0.002360
random,17,4,q1_most_frequent,14,0.029746
random,17,719,q1_most_frequent,1993,-0.027837
random,17,2,q1_most_frequent,0,0.046531
random,17,55,q1_most_frequent,51,0.031137
random,17,549,q1_most_frequent,1344,-0.038229
random,17,20,q1_most_frequent,554,0.002028
random,17,585,q1_most_frequent,1320,-0.019510
random,17,15,q1_most_frequent,658,-0.004431
random,17,30,q1_most_frequent,1618,-0.019575
random,17,2,q1_most_frequent,0,0.047175
random,17,54,q1_most_frequent,1986,-0.040017
random,17,646,q1_most_frequent,714,0.001682
random,17,3,q1_most_frequent,75,0.016722
random,17,489,q1_most_frequent,743,0.006109
random,17,409,q1_most_frequent,518,0.008512
random,17,99,q1_most_frequent,766,-0.015518
random,17,1810,q1_most_frequent,695,-0.003908
random,17,236,q1_most_frequent,225,-0.000599
random,17,151,q1_most_frequent,399,-0.009183
random,17,896,q1_most_frequent,2003,-0.021020
random,17,498,q1_most_frequent,1365,-0.009276
random,17,139,q1_most_frequent,816,0.012917
